symbol,Month,completed days,closed_date_month,Year
Citations and Tags,Jan,2.282436011,1,2013
Citations and Tags,Feb,0.961586121,2,2013
Citations and Tags,Mar,2,3,2013
Citations and Tags,Apr,5.354986276,4,2013
Citations and Tags,May,0.814004376,5,2013
Citations and Tags,Jun,2.237908497,6,2013
Citations and Tags,Jul,2.596690796,7,2013
Citations and Tags,Aug,2.326530612,8,2013
Citations and Tags,Sep,1.667455621,9,2013
Citations and Tags,Oct,1.398425197,10,2013
Citations and Tags,Nov,2.311594203,11,2013
Citations and Tags,Dec,0,12,2013
Citations and Tags,Jan,17.4362069,1,2015
Citations and Tags,Feb,2.78442623,2,2015
Citations and Tags,Mar,2.912147505,3,2015
Citations and Tags,Apr,7.953865337,4,2015
Citations and Tags,May,16.54356061,5,2015
Citations and Tags,Jun,19.33057167,6,2015
Citations and Tags,Jul,22.44259567,7,2015
Citations and Tags,Aug,17.92532089,8,2015
Citations and Tags,Sep,5.120253165,9,2015
Citations and Tags,Oct,7.537259615,10,2015
Citations and Tags,Nov,10.36348409,11,2015
Citations and Tags,Dec,20.37152209,12,2015
Citations and Tags,Jan,6.396396396,1,2016
Citations and Tags,Feb,13.75307125,2,2016
Citations and Tags,Mar,9.281676413,3,2016
Citations and Tags,Apr,9.640075973,4,2016
Citations and Tags,May,15.73448276,5,2016
Citations and Tags,Jun,40.34925373,6,2016
Citations and Tags,Jul,49.41516245,7,2016
Citations and Tags,Aug,16.47209653,8,2016
Citations and Tags,Sep,2.181151832,9,2016
Citations and Tags,Oct,3.084210526,10,2016
Citations and Tags,Nov,2.515957447,11,2016
Citations and Tags,Dec,2.105211406,12,2016
Citations and Tags,Jan,1.659553831,1,2017
Citations and Tags,Feb,1.203904555,2,2017
Citations and Tags,Mar,1.932984293,3,2017
Citations and Tags,Apr,1.329812207,4,2017
Citations and Tags,May,2.775064267,5,2017
Citations and Tags,Jun,1.485991379,6,2017
Citations and Tags,Jul,2.082352941,7,2017
Citations and Tags,Aug,1.585685484,8,2017
Citations and Tags,Sep,2.249019608,9,2017
Citations and Tags,Oct,2.445358402,10,2017
Citations and Tags,Nov,1.756218905,11,2017
Citations and Tags,Dec,1.498507463,12,2017
Citations and Tags,Jan,1.857740586,1,2018
Citations and Tags,Feb,1.66819222,2,2018
Citations and Tags,Mar,1.802874743,3,2018
Citations and Tags,Apr,1.748074807,4,2018
Citations and Tags,May,1.492574257,5,2018
Citations and Tags,Jun,2.05952381,6,2018
Citations and Tags,Jul,2.124752475,7,2018
Citations and Tags,Aug,1.456320658,8,2018
Citations and Tags,Sep,1.692475463,9,2018
Citations and Tags,Oct,1.53364817,10,2018
Citations and Tags,Nov,5.360969388,11,2018
Citations and Tags,Dec,2.727602906,12,2018
Enforcement Section ,Jan,12.49379403,1,2013
Enforcement Section ,Feb,9.370110331,2,2013
Enforcement Section ,Mar,11.11017225,3,2013
Enforcement Section ,Apr,11.68711467,4,2013
Enforcement Section ,May,4.474726776,5,2013
Enforcement Section ,Jun,8.673403914,6,2013
Enforcement Section ,Jul,7.173791822,7,2013
Enforcement Section ,Aug,3.700741696,8,2013
Enforcement Section ,Sep,3.573921633,9,2013
Enforcement Section ,Oct,4.54691689,10,2013
Enforcement Section ,Nov,3.818383988,11,2013
Enforcement Section ,Dec,2.706087631,12,2013
Enforcement Section ,Jan,33.91902252,1,2015
Enforcement Section ,Feb,10.54444444,2,2015
Enforcement Section ,Mar,14.79516129,3,2015
Enforcement Section ,Apr,11.44230769,4,2015
Enforcement Section ,May,26.5764095,5,2015
Enforcement Section ,Jun,41.55004277,6,2015
Enforcement Section ,Jul,49.68668596,7,2015
Enforcement Section ,Aug,41.42916379,8,2015
Enforcement Section ,Sep,48.509375,9,2015
Enforcement Section ,Oct,144.7989078,10,2015
Enforcement Section ,Nov,88.80046048,11,2015
Enforcement Section ,Dec,40.18947964,12,2015
Enforcement Section ,Jan,33.91902252,1,2016
Enforcement Section ,Feb,10.54444444,2,2016
Enforcement Section ,Mar,14.79516129,3,2016
Enforcement Section ,Apr,11.44230769,4,2016
Enforcement Section ,May,26.5764095,5,2016
Enforcement Section ,Jun,41.55004277,6,2016
Enforcement Section ,Jul,49.68668596,7,2016
Enforcement Section ,Aug,41.42916379,8,2016
Enforcement Section ,Sep,48.509375,9,2016
Enforcement Section ,Oct,144.7989078,10,2016
Enforcement Section ,Nov,88.80046048,11,2016
Enforcement Section ,Dec,40.18947964,12,2016
Enforcement Section ,Jan,17.86670688,1,2017
Enforcement Section ,Feb,11.28250401,2,2017
Enforcement Section ,Mar,9.528125,3,2017
Enforcement Section ,Apr,12.27349769,4,2017
Enforcement Section ,May,22.47466063,5,2017
Enforcement Section ,Jun,7.76446281,6,2017
Enforcement Section ,Jul,18.59585122,7,2017
Enforcement Section ,Aug,19.0411036,8,2017
Enforcement Section ,Sep,21.67844523,9,2017
Enforcement Section ,Oct,18.44035446,10,2017
Enforcement Section ,Nov,26.56972112,11,2017
Enforcement Section ,Dec,16.35188356,12,2017
Enforcement Section ,Jan,24.63406157,1,2018
Enforcement Section ,Feb,14.45700246,2,2018
Enforcement Section ,Mar,12.73513514,3,2018
Enforcement Section ,Apr,12.94051553,4,2018
Enforcement Section ,May,15.89122137,5,2018
Enforcement Section ,Jun,17.64823151,6,2018
Enforcement Section ,Jul,18.94790953,7,2018
Enforcement Section ,Aug,19.03388142,8,2018
Enforcement Section ,Sep,10.90376569,9,2018
Enforcement Section ,Oct,17.33204384,10,2018
Enforcement Section ,Nov,16.33108614,11,2018
Enforcement Section ,Dec,20.42896743,12,2018
Solid Waste Management,Jan,197.7174206,1,2013
Solid Waste Management,Feb,16.10268753,2,2013
Solid Waste Management,Mar,17.83164518,3,2013
Solid Waste Management,Apr,10.380265,4,2013
Solid Waste Management,May,9.433994612,5,2013
Solid Waste Management,Jun,7.512158993,6,2013
Solid Waste Management,Jul,8.47588578,7,2013
Solid Waste Management,Aug,7.547507862,8,2013
Solid Waste Management,Sep,7.553528468,9,2013
Solid Waste Management,Oct,7.809768198,10,2013
Solid Waste Management,Nov,6.887892913,11,2013
Solid Waste Management,Dec,9.805236834,12,2013
Solid Waste Management,Jan,7.744633973,1,2015
Solid Waste Management,Feb,7.790697674,2,2015
Solid Waste Management,Mar,7.863107412,3,2015
Solid Waste Management,Apr,9.184458399,4,2015
Solid Waste Management,May,7.414740661,5,2015
