symbol,Month,completed days,closed_date_month,Year
Enforcement Section ,Jan,12.49379403,1,2013
Enforcement Section ,Feb,9.370110331,2,2013
Enforcement Section ,Mar,11.11017225,3,2013
Enforcement Section ,Apr,11.68711467,4,2013
Enforcement Section ,May,4.474726776,5,2013
Enforcement Section ,Jun,8.673403914,6,2013
Enforcement Section ,Jul,7.173791822,7,2013
Enforcement Section ,Aug,3.700741696,8,2013
Enforcement Section ,Sep,3.573921633,9,2013
Enforcement Section ,Oct,4.54691689,10,2013
Enforcement Section ,Nov,3.818383988,11,2013
Enforcement Section ,Dec,2.706087631,12,2013
Enforcement Section ,Jan,33.91902252,1,2015
Enforcement Section ,Feb,10.54444444,2,2015
Enforcement Section ,Mar,14.79516129,3,2015
Enforcement Section ,Apr,11.44230769,4,2015
Enforcement Section ,May,26.5764095,5,2015
Enforcement Section ,Jun,41.55004277,6,2015
Enforcement Section ,Jul,49.68668596,7,2015
Enforcement Section ,Aug,41.42916379,8,2015
Enforcement Section ,Sep,48.509375,9,2015
Enforcement Section ,Oct,144.7989078,10,2015
Enforcement Section ,Nov,88.80046048,11,2015
Enforcement Section ,Dec,40.18947964,12,2015
Enforcement Section ,Jan,33.91902252,1,2016
Enforcement Section ,Feb,10.54444444,2,2016
Enforcement Section ,Mar,14.79516129,3,2016
Enforcement Section ,Apr,11.44230769,4,2016
Enforcement Section ,May,26.5764095,5,2016
Enforcement Section ,Jun,41.55004277,6,2016
Enforcement Section ,Jul,49.68668596,7,2016
Enforcement Section ,Aug,41.42916379,8,2016
Enforcement Section ,Sep,48.509375,9,2016
Enforcement Section ,Oct,144.7989078,10,2016
Enforcement Section ,Nov,88.80046048,11,2016
Enforcement Section ,Dec,40.18947964,12,2016
Enforcement Section ,Jan,17.86670688,1,2017
Enforcement Section ,Feb,11.28250401,2,2017
Enforcement Section ,Mar,9.528125,3,2017
Enforcement Section ,Apr,12.27349769,4,2017
Enforcement Section ,May,22.47466063,5,2017
Enforcement Section ,Jun,7.76446281,6,2017
Enforcement Section ,Jul,18.59585122,7,2017
Enforcement Section ,Aug,19.0411036,8,2017
Enforcement Section ,Sep,21.67844523,9,2017
Enforcement Section ,Oct,18.44035446,10,2017
Enforcement Section ,Nov,26.56972112,11,2017
Enforcement Section ,Dec,16.35188356,12,2017
Enforcement Section ,Jan,24.63406157,1,2018
Enforcement Section ,Feb,14.45700246,2,2018
Enforcement Section ,Mar,12.73513514,3,2018
Enforcement Section ,Apr,12.94051553,4,2018
Enforcement Section ,May,15.89122137,5,2018
Enforcement Section ,Jun,17.64823151,6,2018
Enforcement Section ,Jul,18.94790953,7,2018
Enforcement Section ,Aug,19.03388142,8,2018
Enforcement Section ,Sep,10.90376569,9,2018
Enforcement Section ,Oct,17.33204384,10,2018
Enforcement Section ,Nov,16.33108614,11,2018
Enforcement Section ,Dec,20.42896743,12,2018
