symbol,Month,completed days,closed_date_month,Year
Public Works Road,Jan,12.24606299,1,2013
Public Works Road,Feb,12.35661765,2,2013
Public Works Road,Mar,25.37231504,3,2013
Public Works Road,Apr,28.2010772,4,2013
Public Works Road,May,10.87348587,5,2013
Public Works Road,Jun,10.0709988,6,2013
Public Works Road,Jul,12.41577061,7,2013
Public Works Road,Aug,12.21971831,8,2013
Public Works Road,Sep,11.56590258,9,2013
Public Works Road,Oct,9.331143233,10,2013
Public Works Road,Nov,9.462650602,11,2013
Public Works Road,Dec,11.1732852,12,2013
Public Works Road,Jan,22.53278689,1,2015
Public Works Road,Feb,14.27586207,2,2015
Public Works Road,Mar,16.33811475,3,2015
Public Works Road,Apr,22.54329004,4,2015
Public Works Road,May,16.33484163,5,2015
Public Works Road,Jun,19.34241245,6,2015
Public Works Road,Jul,13.70117647,7,2015
Public Works Road,Aug,11.44311377,8,2015
Public Works Road,Sep,14.54622742,9,2015
Public Works Road,Oct,13.77651515,10,2015
Public Works Road,Nov,15.75059382,11,2015
Public Works Road,Dec,21.79904875,12,2015
Public Works Road,Jan,22.53278689,1,2016
Public Works Road,Feb,14.27586207,2,2016
Public Works Road,Mar,16.33811475,3,2016
Public Works Road,Apr,22.54329004,4,2016
Public Works Road,May,16.33484163,5,2016
Public Works Road,Jun,19.34241245,6,2016
Public Works Road,Jul,13.70117647,7,2016
Public Works Road,Aug,11.44311377,8,2016
Public Works Road,Sep,14.54622742,9,2016
Public Works Road,Oct,13.77651515,10,2016
Public Works Road,Nov,15.75059382,11,2016
Public Works Road,Dec,21.79904875,12,2016
Public Works Road,Jan,69.87747036,1,2017
Public Works Road,Feb,67.08989899,2,2017
Public Works Road,Mar,73.30571762,3,2017
Public Works Road,Apr,77.49053356,4,2017
Public Works Road,May,63.25306122,5,2017
Public Works Road,Jun,36.74450085,6,2017
Public Works Road,Jul,41.12672522,7,2017
Public Works Road,Aug,30.71145374,8,2017
Public Works Road,Sep,46.65913758,9,2017
Public Works Road,Oct,27.61228407,10,2017
Public Works Road,Nov,58.71428571,11,2017
Public Works Road,Dec,84.3423913,12,2017
Public Works Road,Jan,45.62343096,1,2018
Public Works Road,Feb,59.71175523,2,2018
Public Works Road,Mar,45.30268741,3,2018
Public Works Road,Apr,30.85178236,4,2018
Public Works Road,May,21.46946565,5,2018
Public Works Road,Jun,14.06325301,6,2018
Public Works Road,Jul,22.26725664,7,2018
Public Works Road,Aug,29.42265795,8,2018
Public Works Road,Sep,32.14622258,9,2018
Public Works Road,Oct,31.73928571,10,2018
Public Works Road,Nov,88.26966292,11,2018
Public Works Road,Dec,47.93023256,12,2018
