symbol,Month,completed days,closed_date_month,Year
Solid_Waste_Management,Jan,197.7174206,1,2013
Solid_Waste_Management,Feb,16.10268753,2,2013
Solid_Waste_Management,Mar,17.83164518,3,2013
Solid_Waste_Management,Apr,10.380265,4,2013
Solid_Waste_Management,May,9.433994612,5,2013
Solid_Waste_Management,Jun,7.512158993,6,2013
Solid_Waste_Management,Jul,8.47588578,7,2013
Solid_Waste_Management,Aug,7.547507862,8,2013
Solid_Waste_Management,Sep,7.553528468,9,2013
Solid_Waste_Management,Oct,7.809768198,10,2013
Solid_Waste_Management,Nov,6.887892913,11,2013
Solid_Waste_Management,Dec,9.805236834,12,2013
Solid_Waste_Management,Jan,7.744633973,1,2015
Solid_Waste_Management,Feb,7.790697674,2,2015
Solid_Waste_Management,Mar,7.863107412,3,2015
Solid_Waste_Management,Apr,9.184458399,4,2015
Solid_Waste_Management,May,7.414740661,5,2015
Solid_Waste_Management,Jun,7.196086742,6,2015
Solid_Waste_Management,Jul,8.139064125,7,2015
Solid_Waste_Management,Aug,7.201787259,8,2015
Solid_Waste_Management,Sep,7.080835395,9,2015
Solid_Waste_Management,Oct,7.449065822,10,2015
Solid_Waste_Management,Nov,7.496725844,11,2015
Solid_Waste_Management,Dec,7.696068088,12,2015
Solid_Waste_Management,Jan,7.744633973,1,2016
Solid_Waste_Management,Feb,7.790697674,2,2016
Solid_Waste_Management,Mar,7.863107412,3,2016
Solid_Waste_Management,Apr,9.184458399,4,2016
Solid_Waste_Management,May,7.414740661,5,2016
Solid_Waste_Management,Jun,7.196086742,6,2016
Solid_Waste_Management,Jul,8.139064125,7,2016
Solid_Waste_Management,Aug,7.201787259,8,2016
Solid_Waste_Management,Sep,7.080835395,9,2016
Solid_Waste_Management,Oct,7.449065822,10,2016
Solid_Waste_Management,Nov,7.496725844,11,2016
Solid_Waste_Management,Dec,7.696068088,12,2016
Solid_Waste_Management,Jan,8.926316462,1,2017
Solid_Waste_Management,Feb,8.121309411,2,2017
Solid_Waste_Management,Mar,8.663106852,3,2017
Solid_Waste_Management,Apr,8.651187585,4,2017
Solid_Waste_Management,May,7.409355107,5,2017
Solid_Waste_Management,Jun,6.300759356,6,2017
Solid_Waste_Management,Jul,7.129844859,7,2017
Solid_Waste_Management,Aug,7.532196205,8,2017
Solid_Waste_Management,Sep,9.114825455,9,2017
Solid_Waste_Management,Oct,9.328197227,10,2017
Solid_Waste_Management,Nov,9.399456522,11,2017
Solid_Waste_Management,Dec,15.47081553,12,2017
Solid_Waste_Management,Jan,6.947320285,1,2018
Solid_Waste_Management,Feb,7.747923821,2,2018
Solid_Waste_Management,Mar,7.5928164,3,2018
Solid_Waste_Management,Apr,7.466165414,4,2018
Solid_Waste_Management,May,8.035234349,5,2018
Solid_Waste_Management,Jun,7.549499074,6,2018
Solid_Waste_Management,Jul,7.140656397,7,2018
Solid_Waste_Management,Aug,8.781175247,8,2018
Solid_Waste_Management,Sep,7.814992119,9,2018
Solid_Waste_Management,Oct,7.028324677,10,2018
Solid_Waste_Management,Nov,8.036551426,11,2018
Solid_Waste_Management,Dec,7.054121247,12,2018
