geoid,name,B19001001,"B19001001, Error",B19001002,"B19001002, Error",B19001003,"B19001003, Error",B19001004,"B19001004, Error",B19001005,"B19001005, Error",B19001006,"B19001006, Error",B19001007,"B19001007, Error",B19001008,"B19001008, Error",B19001009,"B19001009, Error",B19001010,"B19001010, Error",B19001011,"B19001011, Error",B19001012,"B19001012, Error",B19001013,"B19001013, Error",B19001014,"B19001014, Error",B19001015,"B19001015, Error",B19001016,"B19001016, Error",B19001017,"B19001017, Error"
01000US,United States,118825921,229026,7942251,17662,5768114,16409,5727180,16801,5910725,17864,5619002,16113,5711286,15891,5332778,16488,5354520,15415,4725195,16890,9181800,20965,11818514,30723,14636046,49159,10273788,47842,6428069,37952,6931136,37236,7465517,42206
04000US12,Florida,7510882,23856,543790,5187,379751,4814,405792,5069,433039,4255,412700,5232,411672,4766,389048,4850,382555,4624,329970,4415,624646,5773,754759,6723,870293,7102,558911,5943,319890,4553,332560,4279,361506,4786
05000US12086,"Miami-Dade County, FL",858289,3478,85270,1877,54740,1743,51870,1878,53234,1715,47810,1849,43412,1580,41367,1473,40931,1525,36480,1253,63248,1723,77426,1994,87953,2204,58400,1724,33702,1320,36256,1171,46190,1349
86000US33010,33010,15146,368,2560,297,2026,289,1515,237,1338,215,990,187,1173,228,893,183,620,162,530,169,955,184,897,204,878,144,371,103,203,81,141,60,56,43
86000US33012,33012,23840,484,3113,426,2666,335,2277,386,1869,284,1665,309,1369,273,1208,241,1173,256,1159,225,1869,277,1845,336,1749,284,868,185,398,113,398,129,214,99
86000US33013,33013,9578,323,1323,240,970,201,1003,174,832,197,530,156,450,122,442,147,392,118,451,128,790,157,867,181,719,171,448,117,199,86,107,72,55,42
86000US33014,33014,13800,369,2046,323,1456,280,828,208,959,221,782,198,485,158,975,225,747,206,371,133,809,224,1210,249,1052,235,857,181,338,109,500,189,385,124
86000US33015,33015,21053,413,2229,332,1261,287,842,247,1208,270,1010,210,877,228,1369,336,1147,290,790,227,2082,323,2361,381,2588,365,1586,276,815,224,520,160,368,155
86000US33016,33016,14680,395,1169,240,1103,203,1136,274,882,175,794,190,1063,243,709,187,679,188,787,187,1348,260,1560,265,1269,289,704,185,442,183,445,159,590,200
86000US33018,33018,13378,430,610,136,796,167,734,201,830,192,597,175,716,161,701,175,531,159,517,140,1193,227,1815,284,1550,259,1151,238,839,215,489,170,309,110
86000US33030,33030,9167,385,1440,291,634,204,625,183,603,194,504,179,671,263,312,147,437,158,532,203,744,180,762,202,777,198,480,146,295,112,160,94,191,112
86000US33031,33031,1725,248,92,80,20,23,57,44,76,57,80,58,7,12,54,58,178,117,11,18,111,72,220,110,162,90,211,126,77,67,108,80,261,129
86000US33032,33032,11814,507,991,230,502,216,828,262,699,226,848,221,811,269,540,216,793,244,553,185,876,229,1050,255,1220,242,1066,269,573,218,276,145,188,116
86000US33033,33033,14954,485,1158,233,885,216,921,228,1178,231,1033,221,1097,274,773,198,633,180,656,140,1608,295,1574,273,1493,249,1002,222,379,130,390,120,174,73
86000US33034,33034,4812,293,451,139,465,186,441,109,351,141,387,138,189,114,519,225,347,146,222,96,505,199,125,71,526,218,168,81,57,44,45,35,14,21
86000US33035,33035,4574,374,322,189,201,198,94,110,140,152,331,191,405,295,299,203,331,174,168,129,148,192,343,169,968,376,200,117,271,172,263,145,90,90
86000US33039,33039,110,84,0,13,0,13,0,13,0,13,0,13,10,17,0,13,0,13,0,13,0,13,29,48,55,71,0,13,16,27,0,13,0,13
86000US33054,33054,9205,523,2456,377,872,231,959,253,606,215,524,153,347,134,386,200,363,178,256,151,563,187,569,188,524,191,396,171,147,99,131,90,106,83
86000US33055,33055,11372,313,855,248,745,235,792,217,730,183,626,181,651,176,947,211,636,184,858,260,933,195,1151,231,1258,202,716,172,196,100,208,110,70,55
86000US33056,33056,9744,330,1195,226,683,161,629,182,838,198,575,167,439,131,678,163,415,112,595,200,730,164,988,176,959,159,404,114,281,117,225,79,110,63
86000US33101,33101,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
86000US33109,33109,264,91,0,13,39,45,0,13,10,17,0,13,29,46,0,13,0,13,0,13,0,13,0,13,14,22,14,23,14,23,15,23,129,65
86000US33122,33122,115,70,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,27,35,46,67,24,36,0,13,18,28,0,13,0,13
86000US33125,33125,20356,428,3508,360,2292,314,2152,383,1910,360,1501,280,1217,281,848,201,907,213,1098,297,1399,272,1126,230,1196,240,718,163,238,85,185,85,61,43
86000US33126,33126,17988,463,2232,285,1412,280,1755,326,1309,291,1149,245,1356,265,857,245,1248,329,983,206,1419,238,1392,268,1543,284,749,179,208,93,153,80,223,115
86000US33127,33127,9608,450,1900,294,859,205,848,192,879,201,732,172,643,157,547,137,575,166,415,161,578,158,606,118,412,122,362,146,161,82,34,28,57,34
