geoid,name,B17001001,"B17001001, Error",B17001002,"B17001002, Error",B17001003,"B17001003, Error",B17001004,"B17001004, Error",B17001005,"B17001005, Error",B17001006,"B17001006, Error",B17001007,"B17001007, Error",B17001008,"B17001008, Error",B17001009,"B17001009, Error",B17001010,"B17001010, Error",B17001011,"B17001011, Error",B17001012,"B17001012, Error",B17001013,"B17001013, Error",B17001014,"B17001014, Error",B17001015,"B17001015, Error",B17001016,"B17001016, Error",B17001017,"B17001017, Error",B17001018,"B17001018, Error",B17001019,"B17001019, Error",B17001020,"B17001020, Error",B17001021,"B17001021, Error",B17001022,"B17001022, Error",B17001023,"B17001023, Error",B17001024,"B17001024, Error",B17001025,"B17001025, Error",B17001026,"B17001026, Error",B17001027,"B17001027, Error",B17001028,"B17001028, Error",B17001029,"B17001029, Error",B17001030,"B17001030, Error",B17001031,"B17001031, Error",B17001032,"B17001032, Error",B17001033,"B17001033, Error",B17001034,"B17001034, Error",B17001035,"B17001035, Error",B17001036,"B17001036, Error",B17001037,"B17001037, Error",B17001038,"B17001038, Error",B17001039,"B17001039, Error",B17001040,"B17001040, Error",B17001041,"B17001041, Error",B17001042,"B17001042, Error",B17001043,"B17001043, Error",B17001044,"B17001044, Error",B17001045,"B17001045, Error",B17001046,"B17001046, Error",B17001047,"B17001047, Error",B17001048,"B17001048, Error",B17001049,"B17001049, Error",B17001050,"B17001050, Error",B17001051,"B17001051, Error",B17001052,"B17001052, Error",B17001053,"B17001053, Error",B17001054,"B17001054, Error",B17001055,"B17001055, Error",B17001056,"B17001056, Error",B17001057,"B17001057, Error",B17001058,"B17001058, Error",B17001059,"B17001059, Error"
01000US,United States,313048563,10099,45650345,281297,20408626,134508,2234987,25117,438109,6635,2561860,28331,1136665,11635,381178,5690,721720,8492,2949267,17520,2488026,15290,1993144,17131,2013974,12872,1965662,15378,908254,5926,615780,5233,25241719,149058,2155265,24645,422561,6520,2468248,27446,1093452,11784,378463,5733,717977,7988,3592810,16972,3823412,24839,2917294,23434,2516300,18777,2362779,14794,1388817,8096,1404341,8691,267398218,285830,132880158,137857,7753047,24982,1561762,10279,9848538,28825,5095914,17374,1747264,8603,3507628,11729,11279416,16367,19016333,17926,17721325,19899,18831260,15840,17430778,16116,11788760,7964,7298133,6052,134518060,151090,7389578,24111,1489499,10024,9449593,25649,4865494,17019,1665582,8728,3345633,12464,10081951,17155,17854200,26006,17429075,24515,19273515,20735,18653144,16452,13113338,8329,9907458,9047
04000US12,Florida,19858469,2826,3070972,25205,1387764,14239,137558,3293,27116,1382,157555,3380,70881,2300,25405,1551,44536,1850,172867,3789,160335,3623,135734,3043,149596,3291,154018,3233,86426,2072,65737,2314,1683208,13036,129836,3028,25406,1408,146976,3408,66544,2011,24055,1283,45904,1813,195379,3228,236981,3925,195865,3597,184644,3358,184461,3011,125273,2181,121884,2866,16787497,25704,8257191,14814,418102,3444,83861,2445,526615,4621,280498,3643,97920,2273,194482,2588,662492,4201,1106284,4017,1048375,3104,1171163,3331,1077267,3315,911176,2197,678956,2362,8530306,13262,401996,3024,79765,1905,514196,4575,266433,3391,92048,2083,187191,2644,609671,3380,1043251,3937,1042174,3629,1213335,3644,1210633,2937,1029065,2046,840548,2919
05000US12086,"Miami-Dade County, FL",2661803,1536,505182,8192,222637,4293,20622,1116,4234,569,24191,1057,11075,807,3913,479,7080,645,20814,1292,23172,1214,24606,1406,26102,1228,23105,1283,18362,992,15361,890,282545,5007,19855,1147,4479,594,22490,1137,9716,627,3852,535,7460,714,24405,1401,36536,1414,36291,1506,32865,1510,31507,1367,25529,1139,27560,1110,2156621,8336,1062616,4470,57798,1100,10151,757,66906,1352,36271,1305,11308,655,25640,769,95300,1366,167806,1299,163090,1463,169642,1308,123584,1356,77448,1030,57672,951,1094005,5044,55848,1141,10373,744,66208,1655,32718,1247,11575,654,23433,810,90288,1379,153281,1480,154694,1512,171380,1509,139596,1366,97081,1133,87530,1165
86000US33010,33010,47105,1550,13000,1073,5713,558,461,145,46,47,326,117,228,117,58,53,102,64,452,163,377,154,728,205,795,217,450,160,959,242,731,192,7287,690,310,132,105,69,494,173,166,77,32,37,227,87,367,127,671,175,930,258,988,184,988,224,989,189,1020,170,34105,1685,16527,937,738,198,260,113,825,203,457,140,129,62,304,119,1283,235,2581,395,2296,301,3115,331,2289,323,1177,205,1073,194,17578,1009,816,220,153,91,831,203,441,142,216,103,314,113,1473,291,2160,282,2285,286,3201,401,2119,308,1646,283,1923,283
86000US33012,33012,75817,2281,19088,1779,8212,1030,662,281,117,79,689,245,276,95,152,97,168,85,626,233,761,251,784,248,1270,312,797,243,821,193,1089,293,10876,1004,727,256,159,108,584,156,417,172,146,117,262,118,753,219,1088,235,1166,314,1282,342,1280,268,1390,257,1622,255,56729,2382,27600,1182,523,168,100,57,1202,233,742,174,225,109,660,204,2459,451,3957,610,3960,483,5659,562,3412,434,2084,276,2617,362,29129,1493,1152,300,230,117,1189,249,951,230,218,106,493,162,1972,329,3245,466,3913,374,5302,516,3398,439,3221,427,3845,470
86000US33013,33013,33895,1688,9315,1007,4301,554,422,156,11,17,460,162,169,100,63,71,75,71,309,137,345,178,555,190,532,186,478,148,448,175,434,138,5014,636,185,117,25,31,295,112,59,51,74,62,108,65,276,135,631,217,783,200,666,202,559,186,554,163,799,191,24580,1645,12700,924,390,146,60,59,554,143,282,119,42,34,208,83,801,191,1789,368,1972,422,2512,316,1593,322,1094,215,1403,216,11880,977,420,176,45,48,566,166,246,118,76,69,147,76,1050,273,1321,340,1417,289,2269,353,1104,260,1610,305,1609,271
86000US33014,33014,40637,1663,10959,1321,4799,673,444,201,155,112,436,169,155,104,100,100,43,68,223,129,491,197,762,243,705,241,230,125,572,194,483,253,6160,839,391,192,127,87,584,210,237,124,0,28,64,60,277,142,915,303,954,293,599,222,629,205,869,260,514,183,29678,1681,14654,1018,907,293,129,77,883,227,484,161,147,96,531,171,1279,279,2100,441,2214,370,2434,343,1592,355,1009,237,945,201,15024,967,572,234,128,84,547,162,461,185,150,117,372,166,1273,306,1864,341,2103,348,2895,383,1818,320,1360,284,1481,281
86000US33015,33015,66171,2341,10474,1361,4930,805,469,240,68,50,360,174,279,161,24,39,115,105,661,250,432,188,786,342,712,309,517,192,324,150,183,124,5544,778,280,150,0,31,299,165,278,153,46,54,142,93,387,168,738,268,1000,265,934,281,453,199,627,208,360,141,55697,2276,27263,1509,1647,357,589,242,1674,403,1006,264,485,180,781,222,3062,513,3921,477,4564,550,3918,526,2851,374,1732,342,1033,299,28434,1336,1616,422,159,97,2286,418,852,221,217,139,669,183,2397,433,4405,498,3602,457,4892,516,3696,362,2138,319,1505,286
86000US33016,33016,52000,2098,10315,1322,3908,636,269,132,11,19,296,136,118,69,129,93,265,102,329,148,321,155,490,204,564,206,299,124,437,181,380,132,6407,875,488,195,65,59,699,226,175,100,83,67,161,105,454,167,657,230,981,253,697,221,554,165,714,211,679,159,41685,2133,20430,1144,1369,377,139,80,1323,295,933,259,124,69,375,119,2337,444,2846,539,3020,366,3540,393,2183,395,1397,259,844,233,21255,1346,926,250,118,79,1360,268,569,181,276,138,462,143,2160,427,2570,387,3157,443,3579,402,2717,375,1951,353,1410,292
86000US33018,33018,50093,1995,6332,1014,2532,453,115,78,37,40,286,145,138,80,59,48,131,80,209,101,96,71,391,156,289,105,349,149,241,101,191,109,3800,643,198,110,20,23,226,100,128,79,14,19,108,63,306,120,463,185,645,201,512,166,416,157,429,162,335,173,43761,2129,21608,1146,1064,240,206,101,1558,324,716,203,222,96,661,209,2073,338,3098,545,3793,445,3387,412,2266,322,1610,348,954,222,22153,1385,1061,296,162,102,1450,346,848,215,225,134,640,189,1749,309,2864,462,3411,349,3281,335,3257,425,1600,302,1605,293
86000US33030,33030,34669,1691,11176,1297,5602,829,761,269,253,141,1032,360,210,131,68,60,182,118,296,126,855,261,645,322,465,186,446,199,276,159,113,80,5574,763,654,279,156,108,875,244,234,100,26,41,212,126,374,160,1234,280,565,189,394,185,467,151,207,125,176,93,23493,1683,13419,1149,750,277,201,110,1254,318,332,128,142,89,260,105,1497,453,2742,558,2088,462,1558,332,1709,360,606,196,280,116,10074,907,888,228,116,88,898,268,461,200,69,42,349,157,955,227,1695,370,1311,273,1151,235,1278,291,514,151,389,140
86000US33031,33031,6676,1175,826,353,347,219,0,19,0,19,12,20,36,57,11,17,0,19,92,126,13,21,0,19,80,69,58,60,45,52,0,19,479,262,0,19,0,19,105,114,57,81,0,19,0,19,34,38,25,28,73,78,53,56,83,88,34,44,15,25,5850,1170,3077,716,493,226,16,26,316,244,149,129,0,19,129,106,133,100,441,253,275,156,480,184,262,131,289,124,94,75,2773,589,53,62,82,104,319,148,86,84,10,18,159,131,210,128,283,180,469,224,424,147,203,97,324,120,151,115
86000US33032,33032,45265,2222,11650,1653,5268,870,574,208,143,124,1012,372,535,212,59,65,341,177,608,260,428,189,681,297,332,139,312,142,123,98,120,143,6382,1065,699,317,92,95,830,324,343,174,53,61,265,155,493,202,1379,332,683,238,476,189,492,189,451,215,126,82,33615,2308,17121,1339,1141,358,172,120,1374,364,1032,286,143,92,710,250,1610,382,2470,495,3439,530,2255,328,1440,340,747,232,588,209,16494,1253,880,259,224,125,1336,328,670,289,199,112,517,198,1995,377,2226,379,2974,378,2160,335,1788,383,924,237,601,200
86000US33033,33033,57577,2851,15937,2274,7447,1104,1318,328,190,93,1321,347,354,129,260,139,333,163,566,240,888,281,641,205,709,254,406,132,242,152,219,153,8490,1364,905,286,184,112,701,267,333,144,312,152,267,137,1238,470,1458,344,1279,299,760,217,495,156,328,98,230,117,41640,2640,20561,1470,1366,338,299,127,1782,336,758,224,408,164,496,151,2375,458,3493,519,3337,450,2833,387,1717,343,1170,303,527,163,21079,1472,1521,343,400,133,1605,362,859,209,378,154,733,209,1614,368,2939,477,2963,389,3013,348,2375,363,1515,239,1164,273
86000US33034,33034,19596,1160,8000,1089,3753,639,420,193,85,61,680,215,291,192,51,70,110,74,436,172,625,218,258,131,309,131,242,136,191,104,55,47,4247,626,554,193,205,138,529,240,215,97,81,72,82,66,442,183,658,189,516,219,323,180,399,155,139,121,104,83,11596,1175,5992,744,214,151,9,16,645,252,188,84,99,75,100,69,758,254,1021,298,1020,329,810,229,635,198,346,128,147,118,5604,661,331,178,27,39,745,301,210,107,103,94,57,51,476,178,812,250,734,240,746,204,556,160,577,174,230,107
86000US33035,33035,16569,1616,2897,1196,1003,551,26,42,192,206,363,293,69,109,0,21,48,78,21,35,227,229,17,33,1,2,22,38,17,34,0,21,1894,762,326,241,55,68,257,205,79,95,0,21,62,75,123,116,468,268,185,133,237,266,83,162,17,35,2,3,13672,1950,6705,1173,492,286,24,40,742,360,246,209,71,81,388,244,962,503,1027,386,962,414,1058,340,181,150,385,143,167,124,6967,1099,243,229,55,69,1197,362,410,245,34,55,123,143,342,202,757,396,1926,581,996,309,443,248,392,194,49,47
86000US33039,33039,442,384,97,130,36,62,0,13,0,13,0,13,10,17,0,13,0,13,0,13,16,28,10,17,0,13,0,13,0,13,0,13,61,75,0,13,0,13,0,13,0,13,10,17,0,13,0,13,42,52,9,16,0,13,0,13,0,13,0,13,345,354,184,182,0,13,0,13,0,13,0,13,18,30,0,13,0,13,95,110,29,48,42,66,0,13,0,13,0,13,161,182,0,13,0,13,0,13,13,21,0,13,0,13,76,101,13,20,18,29,41,65,0,13,0,13,0,13
